C689425,FR0087,6.55,50000,22062021 10254200,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-BMAS,CENADEPO,null,OR,50000,50976100000,1158150000
C689509,FR0087,6.55,34500,22062021 10295400,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,34500,35173509000,799123500
C689670,FR0087,6.56,20000,22062021 10371000,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,20000,20376340000,463260000
C689440,FR0087,6.57,50000,22062021 10263800,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-BMAS,CENADEPO,null,OR,50000,50905650000,1158150000
C689474,FR0087,6.57,20000,22062021 10282700,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,20000,20362260000,463260000
C689482,FR0087,6.57,20000,22062021 10284400,STANDCHART BANK,STANDCHART BANK,CR-IB-STANDCHART BANK-00,SCBLDEPO,null,OR,20000,20362260000,463260000
C689234,FR0087,6.58,100000,22062021 10095100,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,100000,101740900000,2316300000
C689317,FR0087,6.58,25000,22062021 10164500,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,25000,25435225000,579075000
C689395,FR0087,6.58,100000,22062021 10230700,KC JPMORGAN CHASE BANK  N.A.,KC JPMORGAN CHASE BANK  N.A.,CR-IB-KC JPMORGAN CHASE BANK N.A.-00,CHASDEPO,null,OR,100000,101740900000,2316300000
C689439,FR0087,6.58,30000,22062021 10262900,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-00,BRINDEPO,null,OR,30000,30522270000,694890000
C689457,FR0087,6.58,50000,22062021 10273900,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,50000,50870450000,1158150000
C689466,FR0087,6.58,50000,22062021 10280000,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,50000,50870450000,1158150000
C689476,FR0087,6.58,10000,22062021 10283100,PT. BANK ANZ INDONESIA,PT. BANK ANZ INDONESIA,CR-IB-PT. BANK ANZ INDONESIA-00,ANZBDEPO,null,OR,10000,10174090000,231630000
C689496,FR0087,6.58,40000,22062021 10292500,STANDCHART BANK,STANDCHART BANK,CR-IB-STANDCHART BANK-00,SCBLDEPO,null,OR,40000,40696360000,926520000
C689631,FR0087,6.58,30000,22062021 10353200,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-SC-PT. BANK CENTRAL ASIA TBK-PACIFIC SEKU,CENADEPO,null,OR,30000,30522270000,694890000
C689635,FR0087,6.58,260000,22062021 10354200,PT BANK CIMB NIAGA TBK,PT BANK CIMB NIAGA TBK,CR-IB-PT BANK CIMB NIAGA TBK-00,BNIADEPO,null,OR,260000,264526340000,6022380000
C689673,FR0087,6.58,20000,22062021 10372800,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,20000,20348180000,463260000
C689686,FR0087,6.58,2000,22062021 10383800,PT. BANK MAYBANK INDONESIA  TBK,PT. BANK MAYBANK INDONESIA  TBK,CR-IB-PT. BANK MAYBANK INDONESIA  TBK-00,IBBKDEPO,null,OR,2000,2034818000,46326000
C689693,FR0087,6.58,250000,22062021 10385700,BRI DANAREKSA SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-IS-BANK MANDIRI SUB REGISTRY - INVESTOR-BPJS TK - JHT,BMRIINVT-DEPO,null,OR,250000,254352250000,5790750000
C689714,FR0087,6.58,400000,22062021 10403400,DEUTSCHE BANK  A.G.,DEUTSCHE BANK  A.G.,CR-IB-DEUTSCHE BANK  A.G.-00,DEUTDEPO,null,OR,400000,406963600000,9265200000
C689736,FR0087,6.58,200000,22062021 10432000,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-00,BRINDEPO,null,OR,200000,203481800000,4632600000
C689763,FR0087,6.58,250000,22062021 10480700,PT. MANDIRI SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-IS-BANK MANDIRI SUB REGISTRY - INVESTOR-BPJS TK,BMRIINVT-DEPO,null,OR,250000,254352250000,5790750000
C689783,FR0087,6.58,39700,22062021 10500600,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,39700,40391137300,919571100
C689809,FR0087,6.58,15000,22062021 10533500,PT BANK OCBC NISP  TBK,PT BANK OCBC NISP  TBK,CR-IB-PT BANK OCBC NISP  TBK-00,NISPDEPO,null,OR,15000,15261135000,347445000
C689814,FR0087,6.58,250000,22062021 10555400,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IS-KUSTODIAN PT. BRI(PERSERO) TBK - INVESTOR-BPJS TK JP,BRININVT-DEPO,null,OR,250000,254352250000,5790750000
C689056,FR0087,6.59,10000,22062021 09374500,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,10000,10167060000,231630000
C689130,FR0087,6.59,25000,22062021 09551300,PT. TRIMEGAH SEKURITAS INDONESIA,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Trimegah,BMRIINVT-DEPO,null,OR,25000,25417650000,579075000
C689161,FR0087,6.59,50000,22062021 10010500,BRI DANAREKSA SEKURITAS,PT BANK CIMB NIAGA TBK,CR-SC-CUSTODIAN SERVICES BANKNIAGA - INVESTOR-Danareksa Seku,BNIAINVT-DEPO,null,OR,50000,50835300000,1158150000
C689174,FR0087,6.59,25000,22062021 10042600,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-PF-KUSTODIAN PT. BRI(PERSERO) TBK - INVESTOR-DPLK BRI,BRININVT-DEPO,null,OR,25000,25417650000,579075000
C689239,FR0087,6.59,100000,22062021 10102800,PT. BANK NEGARA INDONESIA (PERSE,PT. BANK NEGARA INDONESIA (PERSE,CR-IB-PT. BANK NEGARA INDONESIA (PERSERO)  TBK-00,BNINDEPO,null,OR,100000,101670600000,2316300000
C689306,FR0087,6.59,100000,22062021 10161100,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IB-PT. BANK CENTRAL ASIA TBK-CAPITAL,CENADEPO,null,OR,100000,101670600000,2316300000
C689312,FR0087,6.59,10000,22062021 10162700,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-BANK DKI,BRINDEPO,null,OR,10000,10167060000,231630000
C689326,FR0087,6.59,25000,22062021 10172200,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,25000,25417650000,579075000
C689400,FR0087,6.59,200000,22062021 10234800,KC JPMORGAN CHASE BANK  N.A.,KC JPMORGAN CHASE BANK  N.A.,CR-IB-KC JPMORGAN CHASE BANK N.A.-00,CHASDEPO,null,OR,200000,203341200000,4632600000
